TITLE,AUTHOR,TRANSLATOR,PUBLICATION,CATEGORY,IMAGE,URL
"Abbaye (l') de Craigh Melrose, ou mémoires de la famille de Montlinton",miss Henrietta Rouvière,Jean Cohen,1817,,,
Abbaye (l') de Grasville,anonyme,B. Ducos,1810,,,
"Abbaye (l') de la Trappe, ou,les révélations nocturnes; précédé d'une notice historique sur Notre-Dame de la Maison de Dieu de la Trappe, sur son réformateur, et les divers événemens relatifs à l'Ordre",Paccard,,1801,,,
Abbaye (l') de Lussington,miss Henrietta Rouvière,P. de C*,1817,,,
"Abbaye (l') de Palsgrave, ou le revenant",Charlotte Smith ,Mignaux de Marchais,1818,2,,
"Abbaye (l) de Sainte-Aure, ou encore une victime de l'Amour",madame de M*,,1818,,,
Abbaye (l') de Saint-Oswith,M. Hostley,madame de M…l,1813,,,
Abbaye (l') d'Hartford; ou Lise et Amédée,madame Guénard,,,1,,
Abbé (l') suite du monastère ,Walter Scott,anonyme,1821,1,,
Abbesse (l'),anonyme,anonyme,1814,,,
Abdeker ou l'art de conserver la beauté ,anonyme,anonyme,,,,
"Abel, ou les trois frères",Charles de Pougens,,1820,,,
"Absent (l'), ou la famille irlandaise à Londres",miss Edgeworth,anonyme,1814,3,,
"Acquéreur (l'), ou le château de Surville",madame Guénard,,1820,1,,
Adalbert de Mongelas,madame Armande Roland,,1810,1,,
Adalbert et Mélanie,madame S* C*,,1816,,,
"Adar-el-Meleck, ou les pirates barbaresques",M. le chevalier de Riboire,,1815,,,
Adélaïde de Méran ,Pigault-Lebrun,,1820,1,,
"Adelaïde, ou le faux ami",Nougaret,,1815,3,,
"Adelaïde, ou mémoires de la marquise de M* écrits par elle-même ",anonyme,,1782,,,
Adèle,Charles Nodier,,1820,2,,
Adèle de Sénanges,madame de Flahaut,,1808,1,,
Adèle Dorsay ,madame Benoît de Greselles,,1816,,,
Adèle et D'Abligny,Pigault-Lebrun,,,1,,
Adèle et Théodore ou lettres sur l'éducation,madame de Genlis,,1813,1; 3,,
Adelina Mowbray,miss Opie,M. C. D.,1816,3,,
"Adeline, ou la confession ",anonyme,,1809,3,,
"Adolphe et Zénobie, ou les crimes de la jalousie",madame Vildé,,1816,,,
"Adolphe, ou la prédiction",madame Van Esbecq,,,,,
"Adonia, ou les dangers du sentiment",Soulès,,1801,,,
"Adonis, ou le bon nègre, anecdote coloniale",Picquenard,,1817,,,
"Adriana, ou les passions d'une Italienne",R. J. Durdent,,1812,3,,
"Adrien et Stéphanie, ou l'île déserte; histoire française",Villemain D'Abancourt ,,1803,,,
Affinités (les) électives,Goëthe,Goëthe,1810,,,
Agathe de Saint-Bohaire,anonyme,,,,,
Agathe et Théorène,Auguste Lambert,,1819,,,
"Agathe, ou le petit vieillard de Calais",Victor Ducange,,1819,,,
"Agathoclès, ou lettres écrites de Rome et de la Grèce au commencement du 4° siècle",madame Pichler,madame de Montolieu,1813,,,
"Aglaure d'Almont, ou amour et devoir",mademoiselle Fleury,,1810,,,
Agnès de Courcy,mistriss Bennett,anonyme,1798-1799,1,,
Agnès Sorel,madame Guénard,,,1; 2,,
Ah quel conte! conte politique et astronomique ,Crébillon fils,,1779,,,
"Albarose, ou les apparitions de Baffo",Marchais de Migneaux,,1821,,,
"Albert et Ernestine, ou le pouvoir de la maternité",madame de Saint-Legier,,1809,,,
Albertine de St.-Albe ,madame Mary-Gay-Allart ,,1818,2,,
Albert ou le désert de Strathnavern ,mistriss Helme,Lefèvre,1801,1,,
"Albert, ou les amants missionnaires",Victor Ducange ,,1820,,,
"Alexandra, ou la chaumière russe",madame Armande Roland,,1810,1,,
Alexandre et Caroline,madame de L.,,1809,,,
"Alexandre et Séraphine, histoire qui n'est pas incroyable ",anonyme,,1802,,,
"Alexandre, ou le soi-disant grand-homme",Rougemaître de Dieuze,,1819,,,
"Alexina, ou la vieille tour du château de Holdeim",madame Louise de Brayer de Saint-Léon,,1813,1,,
"Alexis et Constantin, ou les habitans de l'Ukraine",madame Beaufort d'Hautpoul,,1820,,,
"Alexis, ou la maisonnette dans les bois manuscrit trouvé sur les bords de l'Isère",Ducray-Duminil,,1790,1; 3,,
"Alexis, ou les deux frères",Raban,,1820,,,
"Alfred et Liska, ou le hussard parvenu",J. H. F. de Lamartelière,,1804,2,,
"Alfred-le-Grand, ou le trône reconquis ",M. Delacoste,,1811,,,
Alfred ou les années d'apprentissage de Wilhelm Meister,Goëthe,C. L. Sévelinges,1802,2,,
Alicia de Lacy ,mistriss West,madame Elisabeth de Bon,1820,1,,
"Alide et Cloridan, ou l'épéc de Charles-Martel ",anonyme,,,,,
Aline de Reisenstein,Auguste Lafontaine,anonyme,1810,1,,
Aline et Valcour ou le roman philosophique,marquis de Sade,,1795,4,,
"Alisbelle et Rosmonde, ou les châtelaines de Grentéménil",R. J. Durdent,,1813,3,,
Alix et Charles de Bourgogne,mademoiselle E. N. ,,1820,,,
"Almed, ou le sage dans l'adversité",anonyme,,1817,,,
Aloïse de Mèspres ,madame de R.,,1814,,,
"Alphonse d'Arvalos et Isabelle d'Olvedo, ou les effets d'une guerre civile",madame C***d,,1818,,,
"Alphonse de Beauval, ou les quinze chapitres ",anonyme,,1813,,,
"Alphonse de Coucy, ou quelques scènes de la campagne de Russie",A. P. F. N.,,1819,,,
Alphonse de Lodève,madame la comtesse de Goloffkin,,1809,,,
Alphonse et Azélia ,madame C. H. M.,,1817,,,
"Alphonse et Lindamire, ou la vengeance",M. Maugenet,,1803,,,
"Alphonse et Mathilde, ou la famille espagnole ",madame Kéralio Robert,,1819,,,
Alphonse et Mathilde,madame L. d'E*,,1819,,,
"Alphonse, histoire portugaise, arrivée lors du tremblement de terre de Lisbonne ",anonyme,,1798-1799,,,
"Alphonse, ou le fils naturel",madame de Genlis,,1809,1; 3,,
"Alphonsine, ou la tendresse maternelle",madame de Genlis,,1808,1; 3,,
"Altamor, ou les cinq frères, histoire asiatique manuscrit trouvé dans les ruines de Delhy, lors de la prise de cette ville",madame Guénard,,1820,1,,
"Amabel, ou mémoires d'une jeune femme de qualité",mistriss Elisa Hervey,madame de Montolieu,1820,,,
Amadis de Gaule,Garci Rodríguez de Montalvo,,,,,
Amans (les) d'autrefois,madame la comtesse de Beauharnais,,1787,,,
Amans (les) de Charenton,madame de Choiseul-Meuse,,1818,3,,
Amans (les) malheureux ou le comte de Comminge,madame de Tencin,,1780,,,
"Amans (les) réunis, ou les fruits de l'amour et de l'éducation ",anonyme,,1797-1798,,,
Amans (les) somnambules,anonyme,,,,,
Amans (les) vendéens,Gosse,,1819,2,,
"Ambrosina, ou l'otage par représailles ",J. B. Carpentier,,1813,,,
"Amélie Booth, histoire anglaise",Henry Fielding,anonyme,1797,1,,
Amélie de Saint-Far,madame de Choiseul-Meuse,,,4,,
"Amélie de Tréville, ou le solitaire ",monsieur G***,,1806,,,
Amélie Mansfield,madame Cottin,,1817,1,,
"Amélie, ou les écarts de ma jeunesse ",anonyme,,,4,,
Amélie ou le secret d'être heureux ,Auguste Lafontaine,J. B. J. Breton,1812,1,,
"Amis (les) d'Henri IV nouvelles historiques, suivies du Journal d'un moine de Saint-Denis, contenant le récit de la violation des .tombeaux des rois en 1793",Sewrin,,1805,,,
Amitié (l') mystérieuse,anonyme,anonyme,1815,,,
"Amitié (l') trompée, on lettres du comte de Saint-Julien",anonyme,anonyme,1788,,,
"Amour et Gloire, ou aventures géantes et militaires du chevalier de C* ",madame de Choiseul-Meuse,,1817,4,,
"Amour et Religion, histoire morale",J. Lablée,,1803,,,
"Amour et Remords, histoire véritable",comtesse de ***,,,,,
Amour et Scrupule,madame ***,,,,,
"Amour et Suicide, ou le Werther de Venise",M. de S***,anonyme,1820,,,
"Amour, Orgueil et Sagesse, suivi du Sauvage de l'Aveyron, du Sacrifice inutile, et d'Isaure, nouvelle languedocienne",anonyme,,1820,,,
"Amours (les) de Chatelard et de Marie-Stuart, nouvelle historique",M. de Mayer,,1787,,,
Amours (les) de Pierre-le-Long et de Blanche Bazu ,anonyme,,1795-1796,,,
"Amours (les) de Zémédar et Carina, et description de l'île de la Martinique",anonyme,,,,,
Amours (les) secrètes de Napoléon Bonaparte,baron de B.,,1815,4,,
Anastase et Nephtali ou les amis,anonyme,,1815,,,
Anatole,madame S** Gay,,1815,1,,
"Ancelina, ou le délire des passions",M. P. F. B. de Lyon,,1801,,,
"Anecdotes, Contes moraux et philosophiqnes et autres Opuscules",M. le marquis du Bouchet,,1821,2,,
Anecdotes de la cour de Philippe-Auguste,mademoiselle de Lussan,,1820,,,
"Angelina, ou la naissance de Pitt",anonyme,,,,,
"Angeline et Valmor, ou la morte vivante",Menegaut Maugenet,,1815,,,
Angélique et Jeanneton de la place Maubert ,Pigault-Lebrun,,1817,1,,
"Angelo, comte d'Albini ou les dangers du vice",Rosa Mathilda,madame Elisabeth de Bon,1816,1,,
"Angelo Guicciardini, ou le bandit des Alpes",Sophie Francès,R. J. Durdent,1817,1,,
"Anna, ou l'héritière galloise",miss Elisabeth Bennett,,1795-1796,,,
"Anna Ros-Trée, histoire anglaise",madame Bournon Malarme,,1784,,,
"Annales (les) de la vertu, ou histoire universelle, iconographique et littéraire pour servir à l'éducation de la jeunesse et à l'usage des artistes et des jeunes littérateurs",madame de Genlis,,1819,1; 3,,
"Anne de Bretagne, roman historique",M***,anonyme,1814,2,,
